x_true,y_true,vx_true,vy_true,x_est,y_est,vx_est,vy_est,sensor,nis
-25.4596,3.8592,2.3366,4.3137,-25.5634,3.9047,2.2673,4.3241,R,1.1276
-25.3402,4.0735,2.4399,4.2612,-25.4967,4.0833,2.2904,4.2224,L,3.8325
-25.2157,4.2851,2.5413,4.2069,-25.3738,4.2852,2.4071,4.1488,R,0.6008
-25.0863,4.4940,2.6407,4.1506,-25.2142,4.5042,2.5701,4.0969,L,2.0055
-24.9518,4.7000,2.7382,4.0925,-25.0638,4.7002,2.6639,4.0198,R,8.9314
-24.8126,4.9030,2.8336,4.0327,-24.9456,4.8938,2.7343,3.9495,L,0.4413
-24.6686,5.1030,2.9270,3.9713,-24.7898,5.0847,2.8515,3.8680,R,2.3001
-24.5201,5.2999,3.0183,3.9084,-24.6214,5.2994,2.9866,3.8274,L,0.9160
-24.3670,5.4937,3.1075,3.8440,-24.4497,5.4787,3.1546,3.7138,R,0.9447
-24.2095,5.6841,3.1946,3.7783,-24.2631,5.6517,3.2907,3.5999,L,1.2271
-24.0477,5.8713,3.2796,3.7113,-24.0974,5.8137,3.4096,3.4746,R,3.2402
-23.8818,6.0551,3.3624,3.6431,-23.9240,5.9739,3.5034,3.3590,L,0.0589
-23.7117,6.2354,3.4430,3.5738,-23.7801,6.1574,3.4480,3.3352,R,4.6679
-23.5377,6.4123,3.5215,3.5036,-23.6130,6.3126,3.5175,3.2345,L,0.0921
-23.3598,6.5856,3.5978,3.4324,-23.4644,6.4846,3.5121,3.1927,R,1.8591
-23.1781,6.7553,3.6718,3.3604,-23.2382,6.7090,3.6655,3.2161,L,4.3059
-22.9928,6.9215,3.7438,3.2877,-23.0435,6.8501,3.7286,3.1044,R,5.5650
-22.8040,7.0839,3.8135,3.2143,-22.8292,7.0236,3.8398,3.0480,L,1.0093
-22.6117,7.2427,3.8811,3.1404,-22.6176,7.1593,3.9513,2.9191,R,1.4822
-22.4161,7.3978,3.9465,3.0660,-22.4326,7.3039,3.9980,2.8323,L,0.3085
-22.2173,7.5492,4.0097,2.9912,-22.2032,7.4328,4.1707,2.6782,R,2.4941
-22.0154,7.6968,4.0709,2.9161,-22.0218,7.5945,4.1999,2.6401,L,2.1311
-21.8105,7.8406,4.1299,2.8407,-21.8377,7.7637,4.1674,2.6484,R,5.8452
-21.6026,7.9807,4.1868,2.7653,-21.6298,7.9061,4.2240,2.5795,L,0.0844
